"gub_new","uezd"
"Нижегородская","Нижегородский уезд"
"Архангельская","Архангельский уезд"
"Бессарабская","Кишиневский уезд"
"Владимирская","Владимирский уезд"
"Вологодская","Вологодский уезд"
"Волынская","Житомирский уезд"
"Воронежская","Воронежский уезд"
"Вятская","Вятский уезд"
"Екатеринославская","Екатеринославский уезд"
"Казанская","Казанский уезд"
"Калужская","Калужский уезд"
"Киевская","Киевский уезд"
"Костромская","Костромской уезд"
"Курская","Курский уезд"
"Курляндская","Митавский уезд"
"Кубанская","Екатеринодарский отдел"
"Лифляндская","Рижский уезд"
"Московская","Московский уезд"
"Херсонская","Одесский уезд"
"Орловская","Орловский уезд"
"Оренбургская","Оренбургский уезд"
"Полтавская","Полтавский уезд"
"Рязанская","Рязанский уезд"
"Самарская","Самарский уезд"
"Санкт-Петербургская","Санкт-Петербургский уезд"
"Саратовская","Саратовский уезд"
"Смоленская","Смоленский уезд"
"Ставропольская","Ставропольский уезд"
"Таврическая","Симферопольский уезд"
"Тамбовская","Тамбовский уезд"
"Тверская","Тверской уезд"
"Тифлисская","Тифлисский уезд"
"Тульская","Тульский уезд"
"Уфимская","Уфимский уезд"
"Харьковская","Харьковский уезд"
"Виленская","Виленский уезд"
"Гродненская","Гродненский уезд"
"Ковенская","Ковенский уезд"
"Минская","Минский уезд"
"Могилевская","Могилевский уезд"
"Тобольская","Тобольский округ"
"Иркутская","Иркутский уезд"
"Енисейская","Красноярский уезд"
"Томская","Томский уезд"
"Варшавская","Варшавский уезд"
"Петроковская","Петроковский уезд"
"Келецкая","Келецкий уезд"
"Люблинская","Люблинский уезд"
"Седлецкая","Седлецкий уезд"
"Плоцкая","Плоцкий уезд"
"Витебская","Витебский уезд"
"Донская","Черкасский округ"
"Новгородская","Новгородский уезд"
"Подольская","Каменец-Подольский уезд"
"Симбирская","Симбирский уезд"
"Херсонская","Херсонский уезд"
"Эриванская","Эриванский уезд"
"Эстляндская","Ревельский уезд"
"Ярославская","Ярославский уезд"
"Сувалкская","Сувалкский уезд"
"Пермская","Пермский уезд"
"Псковская","Псковский уезд"
"Черниговская","Черниговский уезд"
NA,NA
"Калишская","Калишский уезд"
"Ломжинская","Ломжинский уезд"
"Радомская","Радомский уезд"
"Астраханская","Астраханский уезд"
"Кутаисская","Кутаисский уезд"
"Семипалатинская","Семипалатинский уезд"
"Бакинская","Бакинский уезд"
"Пензенская","Пензенский уезд"
"Терская","Владикавказский округ"
"Закаспийская","Асхабадский уезд"
"Акмолинская","Омский уезд"
"Якутская","Якутск"
"Акмолинская","Акмолинский уезд"
"Тургайская","Тургайский уезд"
"Олонецкая","Петрозаводский уезд"
"Забайкальская","Читинский округ"
"Херсонская","Николаевское градоначальство"
"Варшавская","Влоцлавский уезд"
"Сыр-Дарьинская","Ташкентский уезд"
